"Paint Category","Part Number",Unit,Qty,Gallons,"VOC Total"
"Surface cleaners(Max allowed: 450.0)",,,,472.00,"2,106.79"
Topcoats,,,,,
,3M.5911,"1.00 CAN",29.00,2.72,26.13
,ICI.P275-9090,"1.00 QUART",3.00,0.75,0.71
,ICI.P991-8920,"1.00 LITER",1.00,0.26,0.22
,ICI.P991-8979,"1.00 LITER",2.00,0.53,0.33
,ICI.P992-8960,"0.50 .5LTR",1.00,0.13,0.11
,PPG.ALK-FP951,"1.00 GALLON",5.00,5.00,22.05
,PPG.D700,"1.00 GALLON",5.00,5.00,18.85
,PPG.D721,"1.00 GALLON",2.00,2.00,8.34
,PPG.D740,"1.00 GALLON",102.00,102.00,592.62
,PPG.D741,"1.00 QUART",11.00,2.75,16.25
,PPG.D743,"1.00 QUART",1.00,0.25,1.52
,PPG.D744,"1.00 QUART",2.00,0.50,3.04
,PPG.D746,"1.00 QUART",7.00,1.75,10.64
,PPG.D747,"1.00 QUART",1.00,0.25,1.45
,PPG.D748,"1.00 QUART",94.00,23.50,141.71
,PPG.D749,"1.00 QUART",4.00,1.00,5.75
,PPG.D750,"1.00 QUART",2.00,0.50,2.89
,PPG.D751,"1.00 QUART",72.00,18.00,104.40
,PPG.D752,"1.00 QUART",78.00,19.50,111.93
,PPG.D753,"1.00 GALLON",178.00,178.00,959.42
,PPG.D754,"1.00 QUART",96.00,24.00,143.28
,PPG.D756,"1.00 QUART",8.00,2.00,11.48
,PPG.D757,"1.00 QUART",7.00,1.75,10.57
,PPG.D759,"1.00 QUART",112.00,28.00,168.28
,PPG.D760,"1.00 QUART",10.00,2.50,14.38
,PPG.D761,"1.00 QUART",14.00,3.50,20.23
,PPG.D762,"1.00 QUART",3.00,0.75,4.07
,PPG.D763,"1.00 QUART",53.00,13.25,76.98
,PPG.D764,"1.00 QUART",1.00,0.25,1.39
,PPG.D765,"1.00 QUART",4.00,1.00,5.79
,PPG.D767,"1.00 QUART",26.00,6.50,39.46
,PPG.D768,"1.00 GALLON",42.00,42.00,255.36
,PPG.D768,"1.00 QUART",4.00,1.00,6.08
