"Paint, Category","Part Number",Unit,Qty,Gallons,"VOC Total"
"Surface cleaners(Max allowed: 500.0)",,,,478.00,"2,127.77"
Topcoats,,,,,
,3M.5911,"1.00 CAN",29.00,2.72,26.13
,ICI.P275-9090,"1.00 QUART",3.00,0.75,0.71
,ICI.P991-8920,"1.00 LITER",1.00,0.26,0.22
,ICI.P991-8979,"1.00 LITER",2.00,0.53,0.33
,ICI.P992-8960,"0.50 .5LTR",1.00,0.13,0.11
,PPG.ALK-FP951,"1.00 GALLON",5.00,5.00,22.05
,PPG.D700,"1.00 GALLON",5.00,5.00,18.85
,PPG.D721,"1.00 GALLON",2.00,2.00,8.34
,PPG.D740,"1.00 GALLON",102.00,102.00,592.62
,PPG.D741,"1.00 QUART",11.00,2.75,16.25
,PPG.D743,"1.00 QUART",1.00,0.25,1.52
,PPG.D744,"1.00 QUART",2.00,0.50,3.04
,PPG.D746,"1.00 QUART",7.00,1.75,10.64
,PPG.D747,"1.00 QUART",1.00,0.25,1.45
,PPG.D748,"1.00 QUART",94.00,23.50,141.71
,PPG.D749,"1.00 QUART",4.00,1.00,5.75
,PPG.D750,"1.00 QUART",2.00,0.50,2.89
,PPG.D751,"1.00 QUART",73.00,18.25,105.85
,PPG.D752,"1.00 QUART",79.00,19.75,113.37
,PPG.D753,"1.00 GALLON",179.00,179.00,964.81
,PPG.D754,"1.00 QUART",96.00,24.00,143.28
,PPG.D756,"1.00 QUART",8.00,2.00,11.48
,PPG.D757,"1.00 QUART",7.00,1.75,10.57
,PPG.D759,"1.00 QUART",112.00,28.00,168.28
,PPG.D760,"1.00 QUART",10.00,2.50,14.38
,PPG.D761,"1.00 QUART",14.00,3.50,20.23
,PPG.D762,"1.00 QUART",3.00,0.75,4.07
,PPG.D763,"1.00 QUART",53.00,13.25,76.98
,PPG.D764,"1.00 QUART",1.00,0.25,1.39
,PPG.D765,"1.00 QUART",4.00,1.00,5.79
,PPG.D767,"1.00 QUART",26.00,6.50,39.46
,PPG.D768,"1.00 GALLON",42.00,42.00,255.36
,PPG.D768,"1.00 QUART",4.00,1.00,6.08
,PPG.D769,"1.00 QUART",18.00,4.50,27.14
,PPG.D770,"1.00 GALLON",31.00,31.00,187.86
,PPG.D771,"1.00 GALLON",90.00,90.00,547.20
,PPG.D772,"1.00 GALLON",26.00,26.00,157.82
,PPG.D776,"1.00 QUART",26.00,6.50,38.22
,PPG.D777,"1.00 QUART",12.00,3.00,17.40
,PPG.D778,"1.00 QUART",2.00,0.50,2.82
,PPG.D779,"1.00 QUART",8.00,2.00,11.58
,PPG.D780,"1.00 QUART",1.00,0.25,1.40
,PPG.D789,"1.00 QUART",427.00,106.75,629.83
,PPG.D790,"1.00 QUART",18.00,4.50,25.88
,PPG.D792,"1.00 QUART",5.00,1.25,6.64
,PPG.D793,"1.00 QUART",41.00,10.25,59.14
,PPG.D794,"1.00 QUART",8.00,2.00,10.76
,PPG.D797,"1.00 QUART",7.00,1.75,10.26
,PPG.D8113,"1.00 LITER",1.00,0.26,1.18
,PPG.D8239,"0.50 .5LTR",1.00,0.13,0.54
,PPG.D8291,"1.00 QUART",504.00,126.00,538.02
,PPG.D884,"1.00 GALLON",9.00,9.00,12.96
,PPG.D884,"1.00 QUART",1.00,0.25,0.36
,PPG.D894,"1.00 GALLON",11.00,11.00,44.33
,PPG.D942,"1.00 QUART",3.00,0.75,4.37
,PPG.D943,"1.00 QUART",5.00,1.25,7.26
,PPG.D944,"1.00 QUART",17.00,4.25,25.84
,PPG.D946,"1.00 QUART",128.00,32.00,193.92
,PPG.D952,"1.00 GALLON",103.00,103.00,621.09
,PPG.D953,"1.00 QUART",42.00,10.50,63.11
,PPG.D954,"1.00 QUART",8.00,2.00,11.58
,PPG.D955,"1.00 QUART",2.00,0.50,2.89
,PPG.D956,"1.00 QUART",87.00,21.75,125.28
,PPG.D957,"1.00 QUART",24.00,6.00,34.86
,PPG.D958,"1.00 QUART",67.00,16.75,97.82
,PPG.D959,"1.00 QUART",4.00,1.00,5.70
,PPG.D960,"1.00 QUART",10.00,2.50,14.48
,PPG.D964,"1.00 QUART",1.00,0.25,1.47
,PPG.D965,"1.00 QUART",2.00,0.50,2.91
,PPG.D966,"1.00 QUART",25.00,6.25,35.31
,PPG.D967,"1.00 QUART",17.00,4.25,24.95
,PPG.D968,"1.00 QUART",1.00,0.25,1.42
,PPG.D969,"1.00 QUART",10.00,2.50,14.28
,PPG.D971,"1.00 QUART",1.00,0.25,1.44
,PPG.D976,"1.00 QUART",45.00,11.25,67.95
,PPG.D977,"1.00 QUART",34.00,8.50,50.66
,PPG.D978,"1.00 QUART",84.00,21.00,124.11
,PPG.D979,"1.00 QUART",22.00,5.50,33.39
,PPG.D980,"1.00 QUART",19.00,4.75,28.36
,PPG.D981,"1.00 QUART",41.00,10.25,58.94
,PPG.D983,"1.00 QUART",5.00,1.25,7.56
,PPG.D985,"1.00 QUART",2.00,0.50,3.00
,PPG.D989,"1.00 QUART",147.00,36.75,222.34
,PPG.D991,"1.00 QUART",2.00,0.50,2.89
,PPG.DC2000,"1.00 GALLON",2.00,2.00,5.52
,PPG.DC3000,"1.00 GALLON","1,779.00","1,779.00","6,137.55"
,PPG.DC4000,"1.00 GALLON",474.00,474.00,"2,038.20"
,PPG.DCH3095,"1.00 QUART",830.00,207.50,547.80
,PPG.DCH3098,"8.00 8OZ",3.00,0.19,0.50
,PPG.DCH3098,"1.00 QUART","1,450.00",362.50,957.00
,PPG.DCU2021,"1.00 GALLON",1.00,1.00,4.03
,PPG.DCX61,"1.00 QUART",1.00,0.25,0.36
,PPG.DGB,"1.00 QUART",1.00,0.25,1.08
,PPG.DPX172,"1.00 QUART",4.00,1.00,6.71
,PPG.DT860,"1.00 GALLON",60.00,60.00,212.40
,PPG.DT870,"1.00 GALLON",17.00,17.00,117.47
,PPG.DT885,"1.00 GALLON",24.00,24.00,168.96
,PPG.DT895,"1.00 GALLON","1,261.00","1,261.00","8,827.00"
,PPG.DT898,"1.00 GALLON",65.00,65.00,457.60
,PPG.DX840,"1.00 GALLON",8.00,8.00,55.76
,PPG.ECH7080,"1.00 QUART",1.00,0.25,0.57
,PPG.ECH7090,"1.00 QUART",1.00,0.25,0.59
,PPG.EH391,"1.00 QUART",239.00,59.75,16.73
,PPG.EH392,"1.00 QUART",116.00,29.00,31.03
,PPG.JBA,"1.00 QUART",2.00,0.50,2.63
,PPG.JC60,"1.00 GALLON",247.00,247.00,805.22
,PPG.JC630,"1.00 GALLON",1.00,1.00,3.54
,PPG.JC661,"1.00 GALLON",19.00,19.00,75.05
,PPG.JC6700,"5.00 5LITER",24.00,31.70,127.92
,PPG.JH301,"1.00 QUART",1.00,0.25,1.28
,PPG.JH63,"1.00 QUART",114.00,28.50,62.70
,PPG.JH6380,"1.00 QUART",1.00,0.25,0.82
,PPG.JH64,"1.00 QUART",142.00,35.50,77.03
,PPG.JH6670,"1.00 QUART",6.00,1.50,6.63
